zipcode,num_signh,normalized_num_signh
80002,0,0
80010,0,0
80110,18,0.32
80111,0,0
80113,2,0
80202,22,0.4
80203,44,0.84
80204,14,0.24
80205,10,0.16
80206,20,0.36
80207,4,0.04
80209,24,0.44
80210,36,0.68
80211,12,0.2
80212,14,0.24
80214,2,0
80216,12,0.2
80218,52,1
80219,0,0
80220,30,0.56
80221,0,0
80222,24,0.44
80223,28,0.52
80224,16,0.28
80226,0,0
80227,0,0
80230,22,0.4
80231,2,0
80232,4,0.04
80235,0,0
80236,0,0
80237,0,0
80238,10,0.16
80239,0,0
80246,12,0.2
80247,0,0
80264,30,0.56
80290,20,0.36
